Kreis71
Date:,2025/04/24
Time:,15:53:42
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29,,,*30,,,*31,,,*32,,,*33,,,*34,,,*35,,,*36,,,*37,,,*38
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
25,814.882751,475.686829,28.127016,754.337158,532.410095,29.642330,1096.249146,594.375061,341.523285,887.294495,533.672852,55.764412,1023.848816,610.622864,181.069183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,814.910706,475.616394,28.112442,754.300720,532.404053,29.653425,1095.797119,594.790222,341.419922,887.321350,533.642151,55.764492,1023.771057,610.890442,180.839706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,814.935791,475.604462,28.110727,754.234985,532.421509,29.711723,1095.528687,595.077515,341.192383,887.400940,533.649475,55.834969,1023.594971,611.387512,180.632233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,814.939941,475.569946,28.175915,754.245361,532.435730,29.715561,1095.069824,595.520996,340.722809,887.403564,533.737732,55.842842,1023.656860,611.978821,180.368240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,814.939392,475.576752,28.194748,754.197571,532.409241,29.740459,1094.575928,596.884094,339.824707,887.502502,533.848511,55.869217,1024.146118,612.724548,179.329483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,814.923523,475.506897,28.070946,754.298401,532.592773,29.769520,1094.208008,596.568298,339.286346,887.534058,533.851318,56.079659,1024.753418,613.420166,178.275528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,814.906067,475.442993,28.248903,754.426697,532.738525,29.847364,1094.066284,596.850647,339.047882,887.449524,534.027649,56.612850,1025.000000,613.864075,177.871078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,814.860657,475.298553,28.341236,754.581421,532.739441,29.916632,1094.702515,597.095642,338.248566,887.620300,534.103027,57.184189,1025.204224,614.384644,177.647812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,815.024475,475.193359,28.315897,754.905884,532.765991,30.099737,1095.200195,597.520081,337.718323,887.862122,534.305054,57.676426,1026.163574,614.858276,177.074463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,815.040100,475.091095,28.476122,755.352478,532.729797,30.546598,1095.345337,597.734863,336.970795,888.200928,534.540222,58.286285,1027.036743,615.583801,175.766113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
