;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;;*20;;;*21;;;*22;;;*23;;;*24;;;*25;;;*26;;;*27;;;*28;;;*29;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
20;839.649231;472.312469;28.659731;1047.951172;616.328186;174.729538;782.786865;522.014771;31.420443;916.523682;524.475586;61.087814;1097.480103;594.582886;330.539825;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;840.038757;471.968201;29.099449;;;;783.079163;522.102295;32.060505;917.010864;525.008606;61.126122;1097.819702;595.037842;330.309784;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;840.445923;471.832947;29.752693;;;;783.752380;522.323608;33.071144;917.607605;525.407898;61.127792;1098.235107;595.366577;330.102264;1048.991577;616.993347;174.580078;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;840.743469;471.851685;30.785273;;;;784.219482;522.623962;34.534809;918.298645;525.896301;61.020840;1098.651001;595.487549;329.993439;1050.562500;617.195862;173.850388;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;840.920410;472.005280;32.148636;;;;784.695129;522.958130;35.734268;919.061340;526.223267;61.102100;1099.165771;595.591797;329.910248;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;841.000183;472.078003;33.469086;;;;786.418945;522.811951;37.304749;919.936462;526.520752;61.286083;1099.830566;595.754578;329.921570;;;;1052.188477;617.704041;173.857941;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;841.407776;472.178802;34.941216;;;;787.584778;522.740417;39.175201;921.192200;526.623169;61.976837;1100.858887;595.880554;329.843933;;;;1052.470703;618.427124;173.619537;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;841.807312;472.432739;36.748451;;;;788.779724;522.705139;41.380825;922.206177;526.694031;63.062183;1101.811523;596.207031;329.710266;;;;1053.606689;618.747375;173.375748;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;842.222839;472.627075;38.746662;;;;790.051758;522.506714;43.505302;923.253296;526.955994;64.103699;1102.883423;596.658569;329.639923;;;;1053.908691;619.085327;173.201431;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;842.801392;472.938690;41.468948;;;;791.820129;522.082458;45.281391;924.159668;527.106445;65.286545;1103.825073;596.946106;329.548004;;;;1055.135742;619.299866;173.304581;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;843.839539;473.580536;44.187408;;;;794.104431;521.697021;47.261631;925.300293;527.695251;65.914139;1104.296387;597.349915;329.543640;;;;1056.831543;619.541931;173.611465;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;844.973328;474.026428;46.863323;;;;796.285950;521.595093;49.639313;927.140381;528.138245;66.914322;1104.419189;597.814453;329.566681;;;;1057.699219;619.904358;173.250961;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;846.234009;474.727051;50.043686;;;;798.424683;521.456848;51.581837;929.128845;528.762451;67.357315;1104.533813;598.369019;329.630829;;;;1058.883057;620.790955;172.768097;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;847.364380;475.231049;53.935707;;;;801.047607;521.411255;53.573223;930.757324;529.073914;67.969864;1105.145874;598.994873;328.766693;;;;1060.588379;621.153503;172.569641;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;848.019409;475.422455;57.726276;;;;803.602783;521.495300;55.795887;932.698486;529.084229;69.249542;1106.164551;599.326172;328.066864;;;;1062.666016;621.333130;172.305115;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;849.653687;475.951538;60.600597;;;;806.474731;521.604675;58.146599;934.419312;529.361511;70.846901;1107.539917;599.501709;327.876251;;;;1064.361938;621.982056;172.018661;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;851.395630;476.661255;63.714954;;;;809.291565;522.059021;60.981293;936.195007;529.783508;72.422043;1108.841187;599.760437;327.767517;;;;1065.777466;622.517944;172.217148;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;853.128174;477.274170;66.507286;;;;811.957947;522.476868;63.913197;938.143433;529.779175;72.814362;1110.175293;600.048828;327.558167;;;;1067.914063;622.670654;171.903564;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;854.787415;478.263275;69.595398;;;;814.499695;522.945374;66.939148;940.668579;530.035034;73.659996;1111.632202;600.501465;327.294434;;;;1070.558350;622.994690;171.312561;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;856.743958;478.543793;71.508095;;;;817.206848;523.614197;69.911079;942.535339;530.271301;74.528244;1111.513550;601.478088;327.554199;;;;1072.169556;623.594238;170.847153;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;858.340820;478.946167;73.866539;;;;819.775208;524.870728;73.103989;944.706360;530.269470;75.227661;1112.386230;601.844360;326.994843;;;;1075.029541;623.898071;171.577667;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;860.130920;479.653748;75.598503;;;;822.538635;525.996826;76.081299;946.718872;530.841370;76.778893;1114.268555;601.962708;326.285858;;;;1077.270020;624.266785;171.646088;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;862.022339;480.282684;77.173225;;;;;;;948.577759;531.430298;78.345032;1116.640503;601.867615;325.513184;;;;1079.068604;625.046326;171.877747;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;863.596313;480.822571;78.650314;;;;;;;950.533508;531.897095;78.736488;1118.302979;601.989502;325.028625;;;;1081.930786;625.159912;171.673996;827.917053;528.729065;82.750717;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
